site_id,lat,lon,pft
9,32.96986,-115.57222,annual crop
578295,37.52358,-120.81555,annual crop
232,36.99548,-121.79444,annual crop
110682,33.45797,-114.62422,annual crop
62186,34.85761,-120.35928,annual crop
8087,38.29892,-122.65368,annual crop
632,41.74604,-121.82993,annual crop
250350,32.821040000000004,-115.39115,annual crop
124323,36.33219,-119.97159,annual crop
549732,40.66533,-124.27471,annual crop
199951,38.88006,-121.45308,annual crop
72031,39.26688,-121.50792,annual crop
284599,33.6847,-116.13167,annual crop
130232,39.39536,-121.69416,annual crop
1262,37.93317,-121.5381,annual crop
226146,41.62611,-120.19872,annual crop
14402,33.62273,-114.67282,annual crop
573981,36.70153,-119.49487,annual crop
345252,39.40275,-121.67623,annual crop
444350,38.31698,-121.76124,annual crop
248789,37.9027,-121.53402,annual crop
163787,37.39177,-120.6338,annual crop
584826,35.82839,-119.44456,annual crop
224080,34.95383,-114.66565,annual crop
9590,38.24608,-121.64577,annual crop
2809,32.76623,-114.58899,annual crop
2827,33.47883,-116.12774,annual crop
428273,41.35294,-120.56126,annual crop
522417,38.30353,-122.70258,annual crop
54419,36.69869,-121.75695,annual crop
258795,38.31895,-122.49591,annual crop
292900,37.85116,-121.01665,annual crop
473291,34.89188,-120.35518,annual crop
331060,33.80614,-117.0188,annual crop
387943,35.10392,-118.9075,annual crop
80318,40.31084,-120.48719,annual crop
288431,41.11841,-121.19021,annual crop
288351,33.04286,-115.67093,annual crop
561243,41.98534,-121.50255,annual crop
327195,38.29088,-121.51821,annual crop
597356,37.36985,-122.34677,annual crop
398681,38.46098,-121.63905,annual crop
218487,33.55827,-116.20048,annual crop
121719,35.80069,-119.49554,annual crop
589795,36.03097,-120.15732,annual crop
5576,35.28019,-118.95079,annual crop
31609,35.98693,-119.2698,annual crop
5929,40.51628,-124.13694,annual crop
299137,38.43225,-121.21306,annual crop
265522,36.16221,-119.02605,annual crop
421362,36.25705,-119.70621,annual crop
73560,34.25618,-119.0742,annual crop
205999,36.5347,-119.37114,annual crop
520962,33.85666,-117.42054,annual crop
253858,32.75715,-114.62763,annual crop
473823,35.27987,-120.72439,annual crop
457761,36.35752,-119.05669,annual crop
517499,38.37869,-121.22563,annual crop
96467,34.26338,-119.00101,annual crop
7843,34.22385,-119.23601,annual crop
388286,36.90717,-121.81658,annual crop
211150,36.95798,-120.62225,annual crop
8102,39.78785,-122.05793,annual crop
256227,34.63401,-120.07579,annual crop
266247,34.2094,-119.23123,annual crop
355738,41.60044,-120.19394,annual crop
595708,32.79135,-114.58286,annual crop
147131,33.50237,-116.11638,annual crop
439714,33.42213,-114.66357000000001,annual crop
371621,39.77343,-122.11065,annual crop
9013,38.68905,-122.04139,annual crop
454690,40.92931,-124.10763,annual crop
493741,38.97406,-123.69312,annual crop
479205,35.34623,-120.54915,annual crop
360619,38.05982,-121.43747,annual crop
131270,36.33351,-119.75153,annual crop
428675,34.55401,-120.40204,annual crop
543213,33.5039,-114.72947,annual crop
508733,36.37544,-120.01744,annual crop
532248,33.6895,-116.15339,annual crop
308212,37.36311,-120.69058,annual crop
195090,38.85258,-121.71177,annual crop
58139,38.67756,-122.94074,annual crop
579418,38.64269,-122.02482,annual crop
97806,33.64286,-116.12383,annual crop
158994,33.73425,-117.141,annual crop
109416,37.56704,-120.75101,annual crop
340023,38.18063,-121.54858,annual crop
518621,37.99921,-121.59687,annual crop
599833,36.89804,-121.65116,annual crop
33801,40.49347,-124.11829,annual crop
454320,38.05666,-121.50451,annual crop
591791,34.79145,-118.46003,annual crop
11442,37.56728,-121.16526,annual crop
93868,36.49239,-120.25724,annual crop
122592,36.54883,-119.25219,annual crop
49296,35.41469,-119.48604,annual crop
563535,38.08552,-122.5303,annual crop
82559,41.95624,-121.90068,annual crop
458843,38.14662,-121.47589,annual crop
98698,36.94256,-121.36547,annual crop
201216,41.86781,-124.17203,annual crop
204303,38.77998,-121.19211,annual crop
584692,35.67147,-119.41315,annual crop
13873,36.69714,-120.36316,annual crop
332595,39.14045,-121.75769,annual crop
427086,39.73559,-122.18871,annual crop
483967,36.89544,-121.81644,annual crop
231334,37.56497,-121.20855,annual crop
245326,36.5013,-119.95048,annual crop
601637,41.90148,-124.13512,annual crop
344363,33.61646,-114.5523,annual crop
191565,33.62516,-114.61408,annual crop
15334,40.14284,-120.92471,annual crop
411940,36.44027,-119.29432,annual crop
355587,39.0577,-121.83019,annual crop
82024,36.39424,-119.91349,annual crop
424264,37.07679,-120.97658,annual crop
228121,39.60107,-122.23818,annual crop
315900,32.81231,-114.56704,annual crop
313033,38.83392,-121.65687,annual crop
298633,32.78686,-115.38157,annual crop
174733,38.59071,-122.85432,annual crop
33510,34.27466,-118.99256,annual crop
449535,32.76568,-114.5735,annual crop
457460,38.1033,-121.65732,annual crop
164186,33.08256,-116.97764,annual crop
146225,32.94042,-115.63442,annual crop
123959,36.85013,-119.61391,annual crop
542434,35.55467,-119.6098,annual crop
19259,33.56566,-116.21022,annual crop
40663,37.49211,-117.91598,annual crop
111575,38.20613,-121.53894,annual crop
194546,38.10726,-121.46559,annual crop
117100,35.32062,-118.84076,annual crop
333909,38.77116,-121.71334,annual crop
491217,35.9221,-119.56002,annual crop
250557,36.78337,-120.52612,annual crop
303569,33.36203,-114.71972,annual crop
400351,37.9731,-121.48065,annual crop
536362,41.07179,-121.36179,annual crop
209604,38.26156,-122.79986,annual crop
547578,32.80241,-114.53423,annual crop
